epoch;acc;loss;val_acc;val_loss
0;0.61495;0.6678313099384308;0.6088;0.8219762022018433
1;0.6889;0.5976670853614807;0.737;0.5277355134010315
2;0.71115;0.5682503078937531;0.713;0.535563045501709
3;0.7251;0.5473931575775146;0.7326;0.5140310747146607
4;0.73445;0.5342676295757294;0.774;0.484338729095459
5;0.7396;0.5273807011127472;0.7622;0.4940689765930176
6;0.74225;0.5265951379776;0.7656;0.49689851241111754
7;0.74765;0.5179250400781632;0.7868;0.45717923035621644
8;0.7409;0.5258355673789978;0.7626;0.4920711127758026
9;0.7494;0.515176374578476;0.7914;0.46031510882377624
10;0.755;0.5068577623844147;0.7274;0.5177668525695801
11;0.75375;0.5115642685651779;0.7946;0.4517966561794281
12;0.7602;0.5070679174900055;0.7784;0.4725374782562256
13;0.76055;0.5000198158740997;0.776;0.46932071619033816
14;0.7559;0.5047507057666779;0.768;0.5020842098236084
15;0.7568;0.5012440363407135;0.7814;0.4735299083709717
16;0.7591;0.505205602312088;0.8;0.45247243995666503
17;0.76105;0.5008939865589142;0.7936;0.4730689311981201
18;0.7595;0.5003014454364777;0.7964;0.45210023107528685
19;0.76155;0.49486719887256625;0.7962;0.4525834328174591
20;0.76595;0.49640421154499054;0.7784;0.48487465381622313
21;0.75825;0.5001498276233673;0.7914;0.4670655345916748
22;0.76925;0.49175436067581174;0.793;0.45500778188705443
23;0.7712;0.497869957613945;0.7956;0.46620003147125244
24;0.7723;0.493031359910965;0.7986;0.45640809888839723
25;0.76985;0.4968499502658844;0.7734;0.4923328477859497
26;0.77595;0.49358005697727203;0.8032;0.44986864347457883
27;0.7751;0.4872269731283188;0.7616;0.5116251680374145
28;0.7708;0.4967297547340393;0.8046;0.44251423077583313
29;0.7746;0.490838947725296;0.7854;0.49933390550613405
30;0.77295;0.4885147918701172;0.7968;0.46504234828948976
31;0.7735;0.4886721296787262;0.7932;0.4550191351890564
32;0.77225;0.4928334114551544;0.783;0.5000319124698639
33;0.7799;0.4846724766016006;0.8008;0.4572678539276123
34;0.77465;0.486398424077034;0.8056;0.4425984509468079
35;0.7787;0.48734958329200745;0.7804;0.4885422643661499
36;0.7763;0.489364738869667;0.7826;0.47072045431137083
37;0.77825;0.4844701349258423;0.7916;0.4850345071792603
38;0.77785;0.4898639739990234;0.7994;0.45112597551345823
39;0.77715;0.4918316300153732;0.7846;0.48168530025482176
40;0.7801;0.4785295451641083;0.7934;0.49615462889671325
41;0.7767;0.4873247285604477;0.793;0.47394442648887636
42;0.7812;0.4821654486179352;0.8126;0.4423889223098755
43;0.77905;0.48783948612213135;0.787;0.47667686586380004
44;0.7795;0.49165267639160154;0.8024;0.4830265610218048
45;0.78075;0.4842241285800934;0.8048;0.44853111114501953
46;0.7811;0.485954155921936;0.7962;0.44460006628036497
47;0.7814;0.48083388392925264;0.7982;0.4874981344223022
48;0.77605;0.49076255674362185;0.7738;0.4909361584663391
49;0.7821;0.4874885224580765;0.7896;0.4761461951255798
