epoch;acc;loss;val_acc;val_loss
0;0.63255;0.6350735736846924;0.6832932692307693;0.5907698959494249
1;0.7236460106057058;0.5567299380103369;0.7471819645732689;0.5062727042730304
2;0.7546801481689464;0.5150042525198453;0.7707326892109501;0.4709387111587033
3;0.7662929222263699;0.4872730124377431;0.7743558776167472;0.4643978345029404
4;0.7831614776313549;0.46703980703923853;0.7918679549114331;0.4369096831807
5;0.7948743617920108;0.4475901734991252;0.783011272141707;0.4486329175423885
6;0.8040344378757028;0.4352212832525144;0.8067632850241546;0.4180488459729918
7;0.814095505049594;0.4221850689800786;0.8178341384863124;0.4080398461860927
8;0.8184502953248574;0.4102294523877202;0.8075684380032206;0.42316334959773433
9;0.8241065171688857;0.4041592230076236;0.8057568438003221;0.4232845330391913
10;0.8316648313263799;0.3908414980058186;0.8200483091787439;0.39083628891554817
11;0.830063069382281;0.3832486074200406;0.8244766505636071;0.38905715131337326
12;0.8342676944758444;0.3779032347688972;0.8250805152979066;0.3898722733852368
13;0.840674742204504;0.36988199810053757;0.8357487922705314;0.3663533643823891
14;0.8431774952447693;0.3679170570540373;0.8365539452495975;0.3745465887149559
15;0.8476824506838313;0.35868085361550983;0.8270933977455717;0.39378377104151074
16;0.8482330563679652;0.3573260125257981;0.8456119162640902;0.3553985997962491
17;0.8532385624067265;0.3502438612015997;0.8347423510466989;0.3755458558815113
18;0.8559915907378908;0.3480151705507259;0.8556763285024155;0.3376343143734955
19;0.8574431875002898;0.3413511484947896;0.8580917874396136;0.3453204062153944
20;0.8585944538992892;0.3415644885762364;0.8291062801932367;0.38240717819347475
21;0.8599959955891876;0.3381200602957049;0.8438003220611916;0.366461792141919
22;0.8581439583422555;0.3421685432353074;0.8270933977455717;0.38729896272822084
23;0.8619981980058855;0.333411204761506;0.8448067632850241;0.3738355213077364
24;0.8642506757433176;0.3355789238422742;0.8540660225442834;0.362210798666673
25;0.8637000700830518;0.3304540744497559;0.8484299516908212;0.3727869821919335
26;0.8634497947802187;0.3278459501953881;0.841183574879227;0.3727151226978179
27;0.8686054660006798;0.32449052941931633;0.8524557165861514;0.3524901357249937
28;0.866853538898749;0.321786360224991;0.84158615136876;0.38860421444194904
29;0.8688056862548804;0.3213171437099264;0.8625201288244766;0.3321231147709292
30;0.8696566222725789;0.3167684501114759;0.8713768115942029;0.3210688150351366
31;0.8714586044529773;0.3164272125937557;0.8645330112721417;0.3325278256058501
32;0.8724597056822109;0.31707094703568917;0.8272946859903382;0.4620522467986397
33;0.8755631194373416;0.3174362070138706;0.8713768115942029;0.3322028878134422
34;0.8740614676024417;0.31681066526373963;0.8522544283413849;0.359539858624939
35;0.8730103113424768;0.3200253290371776;0.8631239935587761;0.33675259783648065
36;0.8731104214516759;0.31338820242257626;0.8635265700483091;0.36001995786568586
37;0.8740614676024417;0.3120536235198326;0.8637278582930756;0.38830779802396104
38;0.876414055449073;0.3092901442773899;0.8709742351046699;0.3780343257574644
39;0.8754630093162082;0.3165982790251778;0.8595008051529791;0.3734937979451316
40;0.8762638902673732;0.3187691319876694;0.8528582930756844;0.34336454237716785
41;0.8786164781140045;0.30755674421924506;0.8770128824476651;0.32607869955076685
42;0.8753128441166074;0.3150538198313492;0.8776167471819646;0.3159659376754853
43;0.8757132846011403;0.3150448501468099;0.8731884057971014;0.3306737917440909
44;0.8784162578836721;0.3145620089469222;0.8502415458937198;0.40927732345946555
45;0.8754129542496747;0.31675698766360855;0.8462157809983897;0.35996842269160323
46;0.875763339667674;0.3140178708739438;0.8669484702093397;0.3458083126448011
47;0.874962458698608;0.31291262196974184;0.875402576489533;0.3739348193105676
48;0.8733606967664431;0.32110264904432345;0.8768115942028986;0.30857493544834247
49;0.8731604765182096;0.32014723952581053;0.874194847020934;0.3198496042578309
